Au"status"	"family"	"pval"	"qval"	"id"	"symbol"	"gene_short_name"	"num_cells_expressed"	"use_for_ordering"	"gene_id"
"ENSMUSG00000036186"	"OK"	"negbinomial.size"	7.7513220356179e-40	1.50532220330111e-38	"ENSMUSG00000036186"	"Fam69b"	"Fam69b"	15957	TRUE	"ENSMUSG00000036186"
"ENSMUSG00000057738"	"OK"	"negbinomial.size"	2.68194539746523e-284	5.72209583089328e-282	"ENSMUSG00000057738"	"Sptan1"	"Sptan1"	22905	TRUE	"ENSMUSG00000057738"
"ENSMUSG00000054766"	"OK"	"negbinomial.size"	1.4061636356084e-75	5.50276347351779e-74	"ENSMUSG00000054766"	"Set"	"Set"	27426	TRUE	"ENSMUSG00000054766"
"ENSMUSG00000044627"	"OK"	"negbinomial.size"	1.34358498624189e-64	4.3505896384028e-63	"ENSMUSG00000044627"	"Swi5"	"Swi5"	27275	FALSE	"ENSMUSG00000044627"
"ENSMUSG00000026817"	"OK"	"negbinomial.size"	5.23602785933795e-95	2.65638872668367e-93	"ENSMUSG00000026817"	"Ak1"	"Ak1"	17146	TRUE	"ENSMUSG00000026817"
"ENSMUSG00000038900"	"OK"	"negbinomial.size"	5.2388725162167e-312	1.31605547483992e-309	"ENSMUSG00000038900"	"Rpl12"	"Rpl12"	27545	FALSE	"ENSMUSG00000038900"
"ENSMUSG00000026864"	"OK"	"negbinomial.size"	7.22104810462861e-167	7.70327563216374e-165	"ENSMUSG00000026864"	"Hspa5"	"Hspa5"	26163	TRUE	"ENSMUSG00000026864"
"ENSMUSG00000026878"	"OK"	"negbinomial.size"	2.77258001126439e-67	9.51165939987727e-66	"ENSMUSG00000026878"	"Rab14"	"Rab14"	26185	FALSE	"ENSMUSG00000026878"
"ENSMUSG00000026750"	"OK"	"negbinomial.size"	4.08216392327212e-101	2.18486952250733e-99	"ENSMUSG00000026750"	"Psmb7"	"Psmb7"	26730	FALSE	"ENSMUSG00000026750"
"ENSMUSG00000062997"	"OK"	"negbinomial.size"	0	0	"ENSMUSG00000062997"	"Rpl35"	"Rpl35"	27531	TRUE	"ENSMUSG00000062997"
"ENSMUSG00000049252"	"OK"	"negbinomial.size"	3.75638351633615e-52	9.70243337760124e-51	"ENSMUSG00000049252"	"Lrp1b"	"Lrp1b"	9073	TRUE	"ENSMUSG00000049252"
"ENSMUSG00000060703"	"OK"	"negbinomial.size"	1.54807532668285e-65	5.09752076386582e-64	"ENSMUSG00000060703"	"Cd302"	"Cd302"	7701	FALSE	"ENSMUSG00000060703"
"ENSMUSG00000026914"	"OK"	"negbinomial.size"	6.58563954877151e-73	2.48356745695197e-71	"ENSMUSG00000026914"	"Psmd14"	"Psmd14"	24819	FALSE	"ENSMUSG00000026914"
"ENSMUSG00000068882"	"OK"	"negbinomial.size"	1.33854369781869e-35	2.3138532845201e-34	"ENSMUSG00000068882"	"Ssb"	"Ssb"	26517	FALSE	"ENSMUSG00000068882"
"ENSMUSG00000041966"	"OK"	"negbinomial.size"	1.62533791925389e-203	2.24023345950259e-201	"ENSMUSG00000041966"	"Dcaf17"	"Dcaf17"	10413	TRUE	"ENSMUSG00000041966"
"ENSMUSG00000027012"	"OK"	"negbinomial.size"	2.4317557561625e-223	3.7499599903199e-221	"ENSMUSG00000027012"	"Dync1i2"	"Dync1i2"	26014	TRUE	"ENSMUSG00000027012"
"ENSMUSG00000027091"	"OK"	"negbinomial.size"	1.11564711719323e-37	2.06859569646244e-36	"ENSMUSG00000027091"	"Zc3h15"	"Zc3h15"	24855	FALSE	"ENSMUSG00000027091"
"ENSMUSG00000027282"	"OK"	"negbinomial.size"	6.82929480558567e-38	1.27690596154858e-36	"ENSMUSG00000027282"	"Mtch2"	"Mtch2"	26716	FALSE	"ENSMUSG00000027282"
"ENSMUSG00000005510"	"OK"	"negbinomial.size"	3.88914738205602e-82	1.66869064670861e-80	"ENSMUSG00000005510"	"Ndufs3"	"Ndufs3"	26191	FALSE	"ENSMUSG00000005510"
"ENSMUSG00000040479"	"OK"	"negbinomial.size"	5.62246325697753e-85	2.47372500642443e-83	"ENSMUSG00000040479"	"Dgkz"	"Dgkz"	16847	FALSE	"ENSMUSG00000040479"
"ENSMUSG00000068735"	"OK"	"negbinomial.size"	1.43469584252347e-255	2.66016520801227e-253	"ENSMUSG00000068735"	"Trp53i11"	"Trp53i11"	13839	TRUE	"ENSMUSG00000068735"
"ENSMUSG00000027195"	"OK"	"negbinomial.size"	3.33081857227464e-107	1.90027469828489e-105	"ENSMUSG00000027195"	"Hsd17b12"	"Hsd17b12"	26223	FALSE	"ENSMUSG00000027195"
"ENSMUSG00000027168"	"OK"	"negbinomial.size"	4.3082560430223e-71	1.57145404847944e-69	"ENSMUSG00000027168"	"Pax6"	"Pax6"	7760	TRUE	"ENSMUSG00000027168"
"ENSMUSG00000055943"	"OK"	"negbinomial.size"	1.27120329463498e-45	2.77685712677977e-44	"ENSMUSG00000055943"	"Emc7"	"Emc7"	22969	FALSE	"ENSMUSG00000055943"
"ENSMUSG00000023236"	"OK"	"negbinomial.size"	1.31813202263427e-83	5.73461068506392e-82	"ENSMUSG00000023236"	"Scg5"	"Scg5"	2608	TRUE	"ENSMUSG00000023236"
"ENSMUSG00000040383"	"OK"	"negbinomial.size"	6.36238319400535e-48	1.47023914312512e-46	"ENSMUSG00000040383"	"Aqr"	"Aqr"	12307	FALSE	"ENSMUSG00000040383"
"ENSMUSG00000027306"	"OK"	"negbinomial.size"	1.07960935960027e-51	2.76106991392023e-50	"ENSMUSG00000027306"	"Nusap1"	"Nusap1"	8326	TRUE	"ENSMUSG00000027306"
"ENSMUSG00000000308"	"OK"	"negbinomial.size"	5.46031656365376e-54	1.46628328411909e-52	"ENSMUSG00000000308"	"Ckmt1"	"Ckmt1"	1747	TRUE	"ENSMUSG00000000308"
"ENSMUSG00000027248"	"OK"	"negbinomial.size"	5.7892898424292e-131	4.50840946479174e-129	"ENSMUSG00000027248"	"Pdia3"	"Pdia3"	25356	TRUE	"ENSMUSG00000027248"
"ENSMUSG00000027245"	"OK"	"negbinomial.size"	1.43322397707595e-81	6.09903372758414e-80	"ENSMUSG00000027245"	"Hypk"	"Hypk"	22383	FALSE	"ENSMUSG00000027245"
"ENSMUSG00000027236"	"OK"	"negbinomial.size"	2.21768308304036e-309	5.48260539973867e-307	"ENSMUSG00000027236"	"Eif3j1"	"Eif3j1"	23016	FALSE	"ENSMUSG00000027236"
"ENSMUSG00000060802"	"OK"	"negbinomial.size"	1.18958728617407e-66	4.02778738742635e-65	"ENSMUSG00000060802"	"B2m"	"B2m"	21510	FALSE	"ENSMUSG00000060802"
"ENSMUSG00000027199"	"OK"	"negbinomial.size"	4.45479660910241e-166	4.68807143153851e-164	"ENSMUSG00000027199"	"Gatm"	"Gatm"	24692	TRUE	"ENSMUSG00000027199"
"ENSMUSG00000027201"	"OK"	"negbinomial.size"	1.23636315299435e-156	1.17416805535896e-154	"ENSMUSG00000027201"	"Myef2"	"Myef2"	19264	TRUE	"ENSMUSG00000027201"
"ENSMUSG00000034906"	"OK"	"negbinomial.size"	9.92236446467178e-49	2.36662827775288e-47	"ENSMUSG00000034906"	"Ncaph"	"Ncaph"	6456	TRUE	"ENSMUSG00000034906"
"ENSMUSG00000079056"	"OK"	"negbinomial.size"	3.06551241023549e-111	1.82234182402358e-109	"ENSMUSG00000079056"	"Kcnip3"	"Kcnip3"	13290	TRUE	"ENSMUSG00000079056"
"ENSMUSG00000051319"	"OK"	"negbinomial.size"	9.28349821703981e-37	1.67350098067587e-35	"ENSMUSG00000051319"	"1500011K16Rik"	"1500011K16Rik"	21206	FALSE	"ENSMUSG00000051319"
"ENSMUSG00000027333"	"OK"	"negbinomial.size"	5.52688961565465e-36	9.67205682739564e-35	"ENSMUSG00000027333"	"Smox"	"Smox"	11369	FALSE	"ENSMUSG00000027333"
"ENSMUSG00000079037"	"OK"	"negbinomial.size"	1.2037409844721e-55	3.32416060871507e-54	"ENSMUSG00000079037"	"Prnp"	"Prnp"	16783	TRUE	"ENSMUSG00000079037"
"ENSMUSG00000015932"	"OK"	"negbinomial.size"	1.28860351103913e-69	4.59267727332596e-68	"ENSMUSG00000015932"	"Dstn"	"Dstn"	27059	FALSE	"ENSMUSG00000015932"
"ENSMUSG00000027447"	"OK"	"negbinomial.size"	0	0	"ENSMUSG00000027447"	"Cst3"	"Cst3"	27242	TRUE	"ENSMUSG00000027447"
"ENSMUSG00000074698"	"OK"	"negbinomial.size"	8.07541045709208e-45	1.73961988754093e-43	"ENSMUSG00000074698"	"Csnk2a1"	"Csnk2a1"	23446	FALSE	"ENSMUSG00000074698"
"ENSMUSG00000027593"	"OK"	"negbinomial.size"	3.35166405813232e-35	5.73650194564955e-34	"ENSMUSG00000027593"	"Raly"	"Raly"	25273	FALSE	"ENSMUSG00000027593"
"ENSMUSG00000047459"	"OK"	"negbinomial.size"	3.84863708914897e-38	7.2657603228479e-37	"ENSMUSG00000047459"	"Dynlrb1"	"Dynlrb1"	27271	FALSE	"ENSMUSG00000047459"
"ENSMUSG00000005881"	"OK"	"negbinomial.size"	1.08589185590517e-56	3.04734516319335e-55	"ENSMUSG00000005881"	"Ergic3"	"Ergic3"	22529	FALSE	"ENSMUSG00000005881"
"ENSMUSG00000017707"	"OK"	"negbinomial.size"	3.19408097084856e-78	1.29889846268842e-76	"ENSMUSG00000017707"	"Serinc3"	"Serinc3"	9633	FALSE	"ENSMUSG00000017707"
"ENSMUSG00000052033"	"OK"	"negbinomial.size"	2.07995983723981e-40	4.07488986981258e-39	"ENSMUSG00000052033"	"Pfdn4"	"Pfdn4"	24696	FALSE	"ENSMUSG00000052033"
"ENSMUSG00000027560"	"OK"	"negbinomial.size"	1.4283893562814e-44	3.03923008525721e-43	"ENSMUSG00000027560"	"Dok5"	"Dok5"	3142	FALSE	"ENSMUSG00000027560"
"ENSMUSG00000039041"	"OK"	"negbinomial.size"	7.61148939930095e-79	3.14453441363693e-77	"ENSMUSG00000039041"	"Adrm1"	"Adrm1"	18160	FALSE	"ENSMUSG00000039041"
"ENSMUSG00000039001"	"OK"	"negbinomial.size"	1.43085485174238e-105	8.0163900416862e-104	"ENSMUSG00000039001"	"Rps21"	"Rps21"	27573	FALSE	"ENSMUSG00000039001"
